 Reference | Value | Datasheet | Footprint | Qty | DNP 
 C1  C3 | 10uF | ~ | Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm | 2 |  
 C2 | 100nF | ~ | Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder | 1 |  
 D1  D2 | IR  LED | ~ | LED_THT:LED_D5.0mm_Clear | 2 |  
 D3  D6 | ~ | ~ | LED_SMD:LED_0805_2012Metric | 2 |  
 D4  D5  D8  D9  D11 | 1N4148 | http://www.nxp.com/documents/data_sheet/1N4148_1N4448.pdf | Diode_SMD:D_MiniMELF,Diode_SMD:D_SOD-323 | 5 |  
 D7  D10 | 1N4148 | http://www.nxp.com/documents/data_sheet/1N4148_1N4448.pdf | Diode_SMD:D_MiniMELF,Diode_SMD:D_SOD-323 | 2 | DNP 
 D12 | 1N4007 |  | Diode_SMD:D_SOD-323 | 1 |  
 J1  J2  J3 | Conn_01x04_Male | ~ | Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical | 3 |  
 J4 | Conn_01x03_Male | ~ | Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical | 1 |  
 Q1 | 2N2222A | ~ | Package_TO_SOT_SMD:SOT-23_Handsoldering | 1 |  
 Q2 | Q_PMOS_GDS | https://www.infineon.com/dgdl/irlml6402pbf.pdf?fileId=5546d462533600a401535668d5c2263c | Package_TO_SOT_SMD:SOT-23_Handsoldering | 1 |  
 R1  R2 | 27 | ~ | Resistor_SMD:R_0805_2012Metric | 2 |  
 R3 | 470 | ~ | Resistor_SMD:R_0805_2012Metric | 1 |  
 R4 | 1.2k | ~ | Resistor_SMD:R_0805_2012Metric | 1 |  
 R5  R6 | 10k | ~ | Resistor_SMD:R_0805_2012Metric | 2 |  
 R7 | 430 | ~ | Resistor_SMD:R_0805_2012Metric | 1 |  
 R8  R9  R12  R13 | 4k7 | ~ | Resistor_SMD:R_0805_2012Metric | 4 |  
 R10 | 4k7 | ~ | Resistor_SMD:R_0805_2012Metric | 1 | DNP 
 R14 | 20k | ~ | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 1 |  
 R15 | 68k | ~ | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 1 |  
 R16  R18  R19 | 0 | ~ | Resistor_SMD:R_0805_2012Metric | 3 |  
 R17 | 1M | ~ | Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder | 1 |  
 R20  R21  R22 | 0 | ~ | Resistor_SMD:R_0805_2012Metric | 3 | DNP 
 R23 | 2.2k | ~ | Resistor_SMD:R_0805_2012Metric | 1 |  
 R24 | 4.3k | ~ | Resistor_SMD:R_0805_2012Metric | 1 |  
 U3 | XIAO-ESP32-C6-SMD |  | LOCAL1:XIAO-ESP32-C3C6-SMD | 1 |  
